number_of_pedestrians,number_of_vehicles,number_of_two_wheel_vehicles,proportion_of_speeding_vehicles,proportion_of_vehicles_without_lights,proportion_of_light_ignoring_vehicles,light_ignoring_percent,proportion_of_sign_ignoring_vehicles,sign_ignoring_percent,proportion_of_vehicle_ignoring_vehicles,vehicle_ignoring_percent,proportion_of_walker_ignoring_vehicles,walker_ignoring_percent,proportion_of_keeping_right_vehicles,keeping_right_percent,proportion_of_lane_changing_vehicles,lane_change_percent,proportion_of_misbehaving_pedestrians,proportion_of_running_pedestrians,proportion_of_road_crossing_pedestrians,number_of_junctions,distance_in_metres,area_in_square_metres,cloudiness,precipitation,precipitation_deposits,wind_intensity,sun_azimuth_angle,sun_altitude_angle,fog_density,fog_distance,wetness,fog_falloff,scattering_intensity,mie_scattering_scale,rayleigh_scattering_scale,dust_storm,difficulty
17,51,4,0.1938,0.1987,0.1725,24.6254,0.1796,23.8366,0.2143,12.3609,0.2063,11.6956,0.1784,33.0785,0.2002,15.0627,0.2099,0.2285,0.3682,3.6293,1422.077,2304579.8916,20.9328,0.0,0.0,9.5097,327.2906,56.199,0.0,0.0,5.0498,0.1059,0.8823,0.028,0.0385,0.0,61.2099
17,41,5,0.1935,0.175,0.166,30.9462,0.1619,30.3614,0.2117,8.7324,0.1672,11.6891,0.1839,26.1088,0.1508,13.6237,0.2776,0.2342,0.3295,3.7616,1522.2296,2315656.1038,18.3706,0.0,0.0,9.9249,279.1526,69.779,0.0,0.0,5.6621,0.1135,1.1512,0.0347,0.0294,0.0,67.0988
14,51,5,0.1544,0.1507,0.1821,26.2389,0.2055,28.0531,0.1821,11.7058,0.1799,9.5779,0.2182,35.1327,0.1914,15.64,0.2162,0.2242,0.3036,3.9897,1158.0286,2275700.4276,23.0957,0.0,0.0,10.7197,330.9007,63.645,0.0,0.0,5.8418,0.1042,0.9899,0.029,0.0293,0.0,62.0631
15,44,6,0.1911,0.1901,0.212,24.748,0.2093,22.2096,0.2094,11.2287,0.1792,10.0687,0.2004,32.7539,0.1662,15.3846,0.2656,0.2383,0.2932,4.8803,1337.7361,3020477.4387,24.3298,0.0,0.0,12.1829,322.2558,67.3815,0.0,0.0,5.1257,0.1103,0.9737,0.0344,0.037,0.0,66.2584
15,48,5,0.205,0.1841,0.2085,28.7014,0.1966,23.7175,0.1604,9.8444,0.2164,10.6324,0.2012,27.6901,0.1526,13.422,0.2678,0.2709,0.278,3.7869,1536.5355,2639166.588,19.7259,0.0,0.0,10.151,360.0,80.5004,0.0,0.0,5.7994,0.1229,0.9854,0.0334,0.0393,0.0,61.7688
17,50,6,0.1529,0.1674,0.1545,22.972,0.1956,29.624,0.1727,11.2762,0.1526,9.0787,0.1737,26.5097,0.2133,16.0702,0.279,0.2216,0.2886,3.9966,1436.5663,2554309.3541,20.3916,0.0,0.0,9.4275,300.0618,68.7438,0.0,0.0,5.8405,0.1019,1.0044,0.0364,0.0337,0.0,86.4794
18,47,4,0.1681,0.1564,0.2016,30.967,0.1646,29.1675,0.2045,9.7636,0.2089,9.032,0.2096,30.0729,0.1844,12.7981,0.2688,0.2713,0.2905,4.6789,1132.4593,2807286.1166,21.0709,0.0,0.0,11.9325,353.8282,67.9574,0.0,0.0,6.8624,0.0912,0.8988,0.0348,0.0366,0.0,70.9038
14,54,5,0.1944,0.2052,0.1583,24.9575,0.1624,24.6596,0.1537,9.4187,0.1533,8.5523,0.1536,27.659,0.203,16.5606,0.2811,0.2197,0.3066,4.2779,1405.9859,2976240.5863,18.2473,0.0,0.0,11.9694,317.2208,77.4364,0.0,0.0,5.1086,0.1135,1.0122,0.0278,0.0296,0.0,72.8565
13,49,5,0.15,0.193,0.1715,31.2253,0.1787,30.0233,0.1725,9.7897,0.1558,9.6098,0.2065,28.0634,0.1584,18.4543,0.2686,0.3102,0.2896,4.5602,1461.4075,2694174.0702,21.3378,0.0,0.0,10.1728,313.6688,55.283,0.0,0.0,5.49,0.0979,1.157,0.0322,0.0333,0.0,59.6027
16,40,6,0.1818,0.2186,0.1504,29.3209,0.1744,25.6253,0.2162,11.3052,0.1826,11.9379,0.159,28.9005,0.1849,12.828,0.236,0.2385,0.3008,4.9172,1510.3904,2227224.5465,17.708,0.0,0.0,9.2552,294.8403,79.2071,0.0,0.0,6.5831,0.1179,1.1907,0.0336,0.0366,0.0,69.3024
